,Unnamed: 0,height_feet,position,team_name,full_name,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
235,294,6.0,F,Denver Nuggets,Paul Millsap,2019-20,40.0,24.3,12.0,4.2,8.6,48.4,1.1,2.4,43.8,2.6,3.1,83.6,2.1,3.9,5.9,1.6,1.3,0.9,0.7,2.9,24.7,4.0,0.0,5.9
236,295,6.0,G,San Antonio Spurs,Patty Mills,2019-20,60.0,22.9,11.8,4.0,9.4,42.4,2.4,6.4,38.1,1.5,1.7,85.4,0.3,1.3,1.6,1.8,0.8,0.9,0.1,1.5,18.4,0.0,0.0,1.9
237,296,6.0,G,Philadelphia 76ers,Shake Milton,2019-20,29.0,18.2,8.9,3.1,6.3,49.5,1.5,3.2,45.7,1.2,1.5,77.3,0.3,1.8,2.1,2.1,1.2,0.5,0.2,2.0,15.4,0.0,0.0,0.0
238,298,6.0,G,Utah Jazz,Donovan Mitchell,2019-20,59.0,34.4,24.7,9.1,19.8,45.9,2.5,6.8,36.8,4.0,4.7,85.5,0.7,3.8,4.5,4.2,2.7,1.0,0.2,2.5,37.3,1.0,0.0,2.1
239,299,6.0,G,Indiana Pacers,Naz Mitrou-Long,2019-20,3.0,14.2,4.7,2.0,5.3,37.5,0.7,3.7,18.2,0.0,0.0,0.0,0.0,2.0,2.0,2.3,0.7,0.3,0.3,0.3,11.9,0.0,0.0,6.0
240,300,6.0,G,Charlotte Hornets,Malik Monk,2019-20,55.0,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82.0,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1.0,0.0,-4.2
241,301,6.0,G,New Orleans Pelicans,E'Twaun Moore,2019-20,48.0,19.1,8.8,3.5,8.3,42.5,1.2,3.2,38.1,0.6,0.9,65.9,0.6,1.9,2.5,1.5,0.7,0.6,0.2,1.5,15.6,0.0,0.0,-0.3
242,304,6.0,G,Denver Nuggets,Monte Morris,2019-20,61.0,21.5,8.5,3.4,7.5,46.2,0.8,2.2,38.1,0.8,0.9,80.7,0.3,1.5,1.8,3.6,0.7,0.8,0.2,1.0,18.4,0.0,0.0,1.2
243,305,6.0,F,LA Clippers,Johnathan Motley,2019-20,13.0,3.2,2.2,0.8,1.2,73.3,0.1,0.1,100,0.4,0.5,71.4,0.2,0.5,0.8,0.6,0.4,0.2,0.0,0.5,4.3,0.0,0.0,0.2
244,307,6.0,G,Utah Jazz,Emmanuel Mudiay,2019-20,47.0,15.9,7.4,2.9,6.1,47.0,0.6,1.6,36.0,1.1,1.5,75.4,0.4,2.1,2.4,2.3,1.4,0.4,0.2,1.3,14.2,0.0,0.0,0.5
245,308,6.0,G,San Antonio Spurs,Dejounte Murray,2019-20,56.0,24.8,10.6,4.4,9.0,48.5,0.6,1.5,39.3,1.3,1.7,79.8,1.1,4.6,5.8,4.1,1.9,1.7,0.3,2.2,27.6,4.0,0.0,-3.0
246,309,6.0,G,Denver Nuggets,Jamal Murray,2019-20,51.0,32.6,18.7,6.9,15.3,45.3,1.8,5.4,34.3,3.0,3.4,88.9,0.7,3.2,3.9,4.7,2.2,1.2,0.3,1.7,32.7,2.0,0.0,4.9
247,310,6.0,G-F,Brooklyn Nets,Dzanan Musa,2019-20,35.0,11.5,4.2,1.4,4.0,36.0,0.4,1.9,23.1,0.9,1.3,75.0,0.5,1.5,2.0,0.9,0.8,0.4,0.0,0.7,8.4,0.0,0.0,-1.2
248,311,6.0,F-C,Oklahoma City Thunder,Mike Muscala,2019-20,40.0,12.2,4.7,1.6,4.0,40.5,1.1,3.0,36.1,0.5,0.6,81.8,0.3,2.0,2.3,0.9,0.4,0.2,0.3,1.2,9.9,0.0,0.0,-0.2
249,312,6.0,G,Detroit Pistons,Svi Mykhailiuk,2019-20,52.0,22.4,8.9,2.9,7.0,42.1,2.0,4.9,41.4,1.0,1.1,86.4,0.3,1.4,1.8,1.7,1.1,0.7,0.1,1.5,14.7,0.0,0.0,0.1
250,313,6.0,F,Oklahoma City Thunder,Abdel Nader,2019-20,45.0,15.6,5.9,2.1,4.5,45.8,0.8,2.2,35.7,1.0,1.3,76.7,0.3,1.5,1.8,0.7,0.8,0.4,0.4,1.4,10.7,0.0,0.0,-1.2
251,315,6.0,G,Washington Wizards,Shabazz Napier,2019-20,47.0,23.5,9.8,3.2,7.9,41.1,1.3,4.2,31.2,2.0,2.4,82.6,0.5,2.3,2.8,4.9,2.1,1.2,0.2,1.8,22.7,2.0,1.0,-1.0
252,317,6.0,G,Philadelphia 76ers,Raul Neto,2019-20,47.0,11.2,3.9,1.5,3.5,43.6,0.5,1.4,37.3,0.4,0.5,81.8,0.2,0.8,1.1,1.5,0.8,0.4,0.1,0.8,8.4,0.0,0.0,0.4
253,318,6.0,F,Utah Jazz,Georges Niang,2019-20,54.0,13.4,5.8,2.1,4.5,45.5,1.3,3.1,41.8,0.4,0.4,86.4,0.2,1.7,2.0,0.6,0.5,0.2,0.1,1.1,9.5,0.0,0.0,-1.3
254,319,6.0,F-C,Oklahoma City Thunder,Nerlens Noel,2019-20,52.0,18.4,7.8,3.2,4.6,68.8,0.0,0.1,33.3,1.4,1.8,76.6,1.5,3.4,4.9,1.0,1.0,1.1,1.5,2.6,21.8,3.0,0.0,0.2
255,321,6.0,G,New York Knicks,Frank Ntilikina,2019-20,52.0,20.9,6.0,2.2,5.7,38.9,0.7,2.4,30.9,0.8,0.9,87.2,0.4,1.8,2.2,3.0,1.3,0.9,0.3,2.5,15.6,0.0,0.0,-1.7
256,323,6.0,G,Brooklyn Nets,David Nwaba,2019-20,20.0,13.4,5.2,1.9,3.6,52.1,0.6,1.4,42.9,0.9,1.4,66.7,0.4,1.9,2.3,0.4,0.4,0.6,0.6,1.6,11.6,0.0,0.0,1.8
257,324,6.0,F,Utah Jazz,Royce O'Neale,2019-20,60.0,29.0,6.3,2.2,4.9,45.2,1.3,3.1,41.2,0.6,0.8,75.6,0.4,4.9,5.3,2.5,0.8,0.8,0.4,2.8,19.1,2.0,0.0,3.7
258,325,6.0,C,Philadelphia 76ers,Kyle O'Quinn,2019-20,25.0,10.2,3.5,1.4,2.9,48.6,0.3,0.9,30.4,0.4,0.8,52.6,1.3,2.6,3.8,1.4,0.7,0.2,0.9,1.4,12.7,1.0,0.0,-1.9
259,326,6.0,F,Boston Celtics,Semi Ojeleye,2019-20,57.0,14.1,2.8,0.9,2.3,39.7,0.5,1.4,35.8,0.4,0.5,88.9,0.4,1.5,1.8,0.5,0.2,0.3,0.1,1.1,6.7,0.0,0.0,-0.3
260,327,6.0,C,New Orleans Pelicans,Jahlil Okafor,2019-20,28.0,15.1,7.6,3.1,5.1,61.1,0.0,0.1,50.0,1.3,2.1,63.8,1.6,2.6,4.3,1.3,1.3,0.3,0.7,2.3,16.2,2.0,0.0,-4.0
261,328,6.0,G,Phoenix Suns,Elie Okobo,2019-20,52.0,13.3,4.1,1.4,3.4,40.4,0.5,1.3,36.2,0.9,1.3,68.7,0.3,1.4,1.7,2.1,0.7,0.5,0.1,0.9,10.2,0.0,0.0,-0.9
262,329,6.0,G,Minnesota Timberwolves,Josh Okogie,2019-20,58.0,24.7,8.7,2.8,6.5,42.7,0.7,2.5,25.9,2.5,3.1,79.1,1.4,2.9,4.3,1.6,1.4,1.1,0.4,2.2,19.5,0.0,0.0,-2.2
263,330,6.0,G,Indiana Pacers,Victor Oladipo,2019-20,10.0,25.5,12.0,4.3,11.7,36.8,1.4,5.3,26.4,2.0,2.6,76.9,0.7,2.0,2.7,2.4,2.0,0.8,0.1,1.3,19.5,0.0,0.0,-1.9
264,331,7.0,F,Miami Heat,Kelly Olynyk,2019-20,55.0,19.1,7.9,2.6,5.5,47.4,1.4,3.3,43.0,1.2,1.4,84.8,0.7,3.9,4.5,1.7,1.1,0.7,0.3,2.5,17.7,3.0,0.0,1.3
265,332,6.0,F,Cleveland Cavaliers,Cedi Osman,2019-20,61.0,28.9,10.8,4.0,9.1,44.5,1.8,4.8,37.8,0.9,1.4,64.3,0.5,3.0,3.5,2.4,1.4,0.8,0.2,2.4,20.2,2.0,0.0,-5.4
266,335,6.0,F,Sacramento Kings,Jabari Parker,2019-20,33.0,25.8,14.7,6.0,12.1,49.9,0.9,3.5,26.7,1.7,2.2,74.3,1.6,4.3,5.9,1.8,1.8,1.3,0.5,2.8,27.8,2.0,0.0,-4.1
267,337,6.0,F,Atlanta Hawks,Chandler Parsons,2019-20,5.0,10.8,2.8,1.0,3.6,27.8,0.8,2.8,28.6,0.0,0.0,0.0,0.2,1.2,1.4,0.6,0.6,0.8,0.2,0.6,7.8,0.0,0.0,-8.0
268,338,6.0,F,LA Clippers,Patrick Patterson,2019-20,49.0,12.1,4.7,1.5,3.7,40.4,1.1,2.8,38.4,0.6,0.7,79.4,0.6,1.8,2.4,0.6,0.3,0.1,0.1,0.8,8.7,0.0,0.0,1.7
269,339,7.0,C,Dallas Mavericks,Justin Patton,2019-20,5.0,4.8,1.8,0.8,2.0,40.0,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.8,1.0,0.4,0.4,0.0,0.0,0.8,3.2,0.0,0.0,-3.2
270,340,6.0,G,Oklahoma City Thunder,Chris Paul,2019-20,60.0,31.7,17.5,6.2,12.7,48.5,1.6,4.5,36.0,3.6,4.0,89.5,0.3,4.6,5.0,6.7,2.1,1.5,0.1,2.2,36.3,9.0,0.0,4.4
271,341,6.0,G,New York Knicks,Elfrid Payton,2019-20,40.0,27.6,9.5,4.2,9.8,42.6,0.4,1.6,21.5,0.9,1.7,53.0,1.1,3.5,4.6,7.1,2.1,1.6,0.4,2.1,29.6,5.0,1.0,-1.6
272,342,6.0,G-F,Brooklyn Nets,Theo Pinson,2019-20,30.0,11.7,4.0,1.5,5.1,29.6,0.5,2.6,19.2,0.5,0.5,93.8,0.3,1.4,1.7,1.8,1.1,0.5,0.1,1.1,9.5,0.0,0.0,-0.8
273,343,6.0,F-C,Denver Nuggets,Mason Plumlee,2019-20,49.0,17.1,7.4,3.0,4.8,62.7,0.0,0.1,0.0,1.5,2.7,54.5,1.8,3.7,5.5,2.4,1.4,0.6,0.6,2.3,19.6,2.0,0.0,0.1
274,345,7.0,C,San Antonio Spurs,Jakob Poeltl,2019-20,58.0,16.6,5.3,2.3,3.8,61.9,0.0,0.0,0.0,0.6,1.3,48.6,1.8,3.6,5.3,1.8,0.8,0.5,1.4,1.7,19.4,2.0,0.0,1.0
275,349,6.0,F,New York Knicks,Bobby Portis,2019-20,61.0,20.9,9.8,3.9,8.7,44.4,1.0,2.9,35.2,1.1,1.4,76.5,1.3,3.9,5.1,1.5,1.1,0.5,0.2,1.7,19.2,5.0,0.0,-3.0
276,350,7.0,F-C,Dallas Mavericks,Kristaps Porzingis,2019-20,47.0,30.8,19.2,6.6,15.5,42.4,2.5,7.0,35.8,3.6,4.6,77.3,1.6,7.7,9.4,1.6,1.6,0.7,2.0,3.1,39.3,21.0,0.0,5.5
277,351,6.0,F-C,Dallas Mavericks,Dwight Powell,2019-20,40.0,26.5,9.4,3.7,5.7,63.8,0.3,1.0,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1.0,0.0,4.9
278,352,6.0,F-G,Toronto Raptors,Norman Powell,2019-20,41.0,28.9,15.9,5.7,11.5,49.7,2.0,5.2,39.1,2.4,2.9,83.2,0.6,3.2,3.8,1.7,1.5,1.2,0.4,2.1,26.4,0.0,0.0,3.8
279,354,6.0,F,Brooklyn Nets,Taurean Prince,2019-20,60.0,29.1,12.2,4.4,11.5,38.4,2.4,6.8,35.0,1.0,1.3,76.9,0.8,5.2,5.9,1.9,2.0,0.9,0.4,2.5,24.0,8.0,0.0,1.4
280,357,6.0,F,New York Knicks,Julius Randle,2019-20,59.0,32.6,19.2,7.1,15.7,45.4,1.0,3.7,26.5,3.9,5.5,72.1,2.4,7.4,9.7,3.3,3.0,0.8,0.4,2.7,36.2,27.0,0.0,-3.3
281,358,6.0,G,New Orleans Pelicans,JJ Redick,2019-20,54.0,26.4,14.9,4.6,10.3,45.0,2.9,6.4,45.2,2.7,3.0,90.2,0.2,2.4,2.6,2.0,1.2,0.4,0.2,1.6,21.4,0.0,0.0,0.2
282,360,6.0,G-F,Philadelphia 76ers,Josh Richardson,2019-20,47.0,30.7,13.9,5.2,12.1,43.0,1.5,4.5,32.5,2.1,2.6,79.0,0.8,2.6,3.4,3.1,1.9,1.0,0.7,2.5,25.7,0.0,0.0,2.2
283,361,6.0,G,Houston Rockets,Austin Rivers,2019-20,56.0,23.3,8.6,3.1,7.3,42.4,1.4,3.9,34.5,1.0,1.5,69.5,0.4,2.0,2.4,1.6,0.6,0.7,0.2,1.8,15.8,0.0,0.0,1.7
284,367,7.0,C,New York Knicks,Mitchell Robinson,2019-20,57.0,23.0,9.5,4.1,5.6,73.0,0.0,0.0,0.0,1.3,2.3,56.4,3.1,4.0,7.1,0.6,0.6,0.9,1.9,3.2,26.8,7.0,0.0,-2.0
285,368,6.0,G,Los Angeles Lakers,Rajon Rondo,2019-20,45.0,20.8,7.3,2.9,6.9,42.4,0.9,2.6,33.6,0.6,0.9,66.7,0.5,2.6,3.0,5.0,1.9,0.9,0.0,1.2,19.4,2.0,0.0,1.0
286,369,6.0,G,Detroit Pistons,Derrick Rose,2019-20,50.0,26.0,18.1,7.4,15.1,49.0,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,2.5,0.8,0.3,1.0,30.2,4.0,0.0,-1.7
287,370,6.0,G-F,Orlando Magic,Terrence Ross,2019-20,59.0,27.0,14.2,4.8,12.2,39.4,2.4,7.2,33.9,2.2,2.6,84.8,0.2,3.1,3.3,1.2,0.9,1.1,0.3,1.4,23.2,0.0,0.0,-1.3
288,371,6.0,G,Charlotte Hornets,Terry Rozier,2019-20,60.0,34.1,17.5,6.2,14.8,41.6,2.6,6.5,39.0,2.7,3.0,87.9,0.8,3.7,4.5,4.1,2.3,1.0,0.2,2.0,30.3,2.0,0.0,-6.8
289,372,6.0,G,Phoenix Suns,Ricky Rubio,2019-20,54.0,31.4,12.7,4.4,10.6,40.9,1.1,3.2,34.3,2.9,3.4,83.8,0.7,3.7,4.5,8.8,2.7,1.5,0.2,2.5,33.6,19.0,1.0,1.9
290,373,6.0,G,Minnesota Timberwolves,D'Angelo Russell,2019-20,41.0,32.4,23.6,8.2,19.1,43.1,3.6,9.7,37.4,3.5,4.3,80.3,0.4,3.4,3.8,6.5,3.2,1.0,0.3,2.0,38.8,3.0,0.0,-6.7
291,374,6.0,F,Indiana Pacers,Domantas Sabonis,2019-20,58.0,34.5,18.3,7.3,13.5,53.8,0.2,1.1,23.0,3.5,4.8,72.9,3.1,9.4,12.5,4.9,2.6,0.8,0.5,3.3,41.8,47.0,4.0,3.3
292,375,6.0,F,Phoenix Suns,Dario Saric,2019-20,55.0,24.3,9.6,3.6,7.9,45.2,1.2,3.6,32.0,1.3,1.5,84.5,1.5,4.4,5.8,1.9,1.3,0.5,0.2,2.2,20.5,8.0,0.0,-1.3
293,376,6.0,G-F,Chicago Bulls,Tomas Satoransky,2019-20,61.0,29.0,10.1,3.7,8.5,43.8,1.0,3.1,33.0,1.7,1.9,87.2,1.1,2.7,3.8,5.5,2.0,1.3,0.1,2.2,25.2,3.0,0.0,-0.8
294,377,6.0,G,Oklahoma City Thunder,Dennis Schroder,2019-20,60.0,31.0,18.9,7.0,14.9,47.0,1.9,5.1,38.0,3.0,3.5,84.4,0.3,3.4,3.8,4.0,2.6,0.7,0.2,2.2,29.4,0.0,0.0,3.8
295,378,6.0,F,Philadelphia 76ers,Mike Scott,2019-20,60.0,17.4,5.6,2.0,5.0,40.4,1.2,3.3,35.7,0.4,0.5,88.9,0.8,2.6,3.4,0.6,0.4,0.3,0.1,1.3,11.5,0.0,0.0,1.5
296,379,6.0,F,Houston Rockets,Thabo Sefolosha,2019-20,40.0,10.7,2.3,0.9,2.3,41.1,0.4,1.4,27.8,0.1,0.2,37.5,0.5,1.8,2.3,0.6,0.4,0.6,0.3,1.1,8.4,0.0,0.0,0.6
297,381,6.0,G,Cleveland Cavaliers,Collin Sexton,2019-20,61.0,32.5,20.2,7.6,16.4,46.4,1.5,3.9,38.8,3.4,4.1,84.3,1.0,2.1,3.1,2.8,2.2,1.0,0.1,2.1,29.2,0.0,0.0,-6.6
298,382,6.0,G,LA Clippers,Landry Shamet,2019-20,44.0,28.2,10.0,3.3,7.6,42.8,2.3,5.8,40.2,1.2,1.3,89.7,0.1,1.8,2.0,1.8,0.8,0.4,0.2,2.8,16.1,0.0,0.0,3.2
299,383,6.0,G,Brooklyn Nets,Iman Shumpert,2019-20,13.0,18.5,4.2,1.6,4.9,32.8,0.6,2.5,24.2,0.3,0.5,57.1,0.7,1.9,2.6,0.9,0.8,0.9,0.2,1.6,11.1,0.0,0.0,-4.0
300,384,6.0,F,Toronto Raptors,Pascal Siakam,2019-20,50.0,35.3,23.7,8.8,19.0,46.1,2.2,6.0,37.0,4.0,5.0,79.3,1.1,6.4,7.5,3.5,2.5,1.0,1.0,2.8,41.3,11.0,0.0,6.6
301,385,6.0,G-F,Philadelphia 76ers,Ben Simmons,2019-20,54.0,35.7,16.7,6.7,11.4,58.5,0.0,0.1,33.3,3.3,5.3,62.7,2.0,5.8,7.8,8.2,3.6,2.1,0.6,3.2,43.0,30.0,6.0,1.5
302,387,6.0,G,Portland Trail Blazers,Anfernee Simons,2019-20,61.0,22.1,9.0,3.3,8.3,40.1,1.2,3.5,34.1,1.2,1.4,81.6,0.4,2.0,2.4,1.5,1.0,0.4,0.1,2.0,14.7,1.0,0.0,-4.0
303,388,6.0,G,Boston Celtics,Marcus Smart,2019-20,49.0,32.2,12.9,4.3,11.5,37.8,2.4,6.8,35.2,1.8,2.2,81.5,0.7,3.0,3.8,5.0,1.6,1.7,0.5,2.7,30.0,2.0,0.0,4.8
304,390,6.0,G,Washington Wizards,Ish Smith,2019-20,60.0,26.2,10.5,4.4,9.7,45.1,0.9,2.5,36.7,0.8,1.2,68.6,0.5,2.7,3.2,4.8,1.3,0.9,0.4,1.4,23.9,0.0,0.0,-1.8
305,393,6.0,G,Philadelphia 76ers,Zhaire Smith,2019-20,7.0,4.6,1.1,0.4,1.6,27.3,0.0,0.4,0.0,0.3,0.6,50.0,0.0,0.3,0.3,0.3,0.3,0.4,0.0,0.6,2.9,0.0,0.0,-1.4
306,394,6.0,G,Detroit Pistons,Tony Snell,2019-20,55.0,27.6,8.1,2.9,6.5,45.1,1.8,4.3,41.0,0.5,0.5,100,0.1,1.7,1.8,2.1,0.5,0.5,0.2,1.7,15.1,0.0,0.0,-3.1
307,398,6.0,G,Indiana Pacers,Edmond Sumner,2019-20,21.0,13.3,4.2,1.7,4.0,42.4,0.4,1.3,28.6,0.4,0.6,61.5,0.4,1.0,1.4,1.3,0.7,0.6,0.3,1.4,9.8,0.0,0.0,-1.4
308,399,6.0,F,Portland Trail Blazers,Caleb Swanigan,2019-20,23.0,11.2,2.8,1.2,2.0,59.6,0.0,0.1,0.0,0.4,0.7,52.9,1.1,2.7,3.8,1.0,1.3,0.1,0.3,2.3,8.9,0.0,0.0,-1.8
309,400,6.0,F,Boston Celtics,Jayson Tatum,2019-20,55.0,34.5,23.5,8.4,18.7,45.0,2.8,7.1,39.6,3.9,4.7,81.6,1.0,6.1,7.1,2.9,2.2,1.3,0.9,2.1,40.9,10.0,0.0,7.9
310,401,6.0,G,Atlanta Hawks,Jeff Teague,2019-20,55.0,25.2,10.9,3.6,8.4,43.0,0.7,2.0,36.0,3.0,3.4,87.2,0.5,2.0,2.4,5.3,2.1,0.8,0.3,1.8,23.1,3.0,0.0,-3.0
311,402,6.0,G-F,Brooklyn Nets,Garrett Temple,2019-20,55.0,28.1,10.3,3.6,9.5,37.8,2.0,6.3,32.4,1.0,1.3,76.7,0.5,2.9,3.5,2.6,1.0,0.8,0.5,1.7,21.0,1.0,0.0,-0.8
312,404,6.0,F,Boston Celtics,Daniel Theis,2019-20,54.0,23.6,9.1,3.6,6.6,55.6,0.4,1.4,29.9,1.4,1.8,76.3,2.3,4.4,6.6,1.6,0.8,0.6,1.3,3.5,24.4,5.0,0.0,3.3
313,405,5.0,G,LA Clippers,Isaiah Thomas,2019-20,40.0,23.1,12.2,4.4,10.7,40.8,2.0,4.7,41.3,1.6,1.9,81.6,0.3,1.4,1.7,3.7,1.9,0.3,0.2,1.9,19.2,1.0,0.0,-5.0
314,406,6.0,G,Detroit Pistons,Khyri Thomas,2019-20,5.0,5.1,1.4,0.4,1.2,33.3,0.4,1.0,40.0,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.6,2.1,0.0,0.0,-3.2
